fouc,Fuck off you cunt
l4m3rz,lamers
tgfitw,The Greatest Fans In The World
incld,include
atop,at time of posting
ka,Kick Ass
pmg,oh my God
rhs,right hand side
fankle,area between foot and ankle
pwd,password
ttyob,tend to your own business
ihtsm,i hate this so much
7uck,fuck
msf,male seeking female
pwn,made to look bad
msngr,messenger
wfh,Working From Home
dulm,do you like me
icgup,I can give you pleasure
newez,anyways
sdk,Software Development Kit
asaik,as soon as I know
4ever,forever
OMGWTFNIPPLES,"on my God, what the fuck"
bcnul8r,be seeing you later
cig,cigarette
cid,consider it done
tia,thanks in advance
frnd,friend
ttyl8r,talk to you later
bbilb,be back in a little bit
ur,your
cis,computer information science
ihysm,I hate you so much
njp,nice job partner
kuhl,cool
bigd,big deal
tcfc,Too Close For Comfort
tcfm,too cool for me
l@u,laughing at you
ruagoab,are you a girl or a boy
ua,user agreement
impo,In My Personal Opinion
y w,you're welcome
uber,over
pfa,Please Find Attached
snafubar,Situation Normal All Fucked Up Beyond Any Recognition
sxc,sexy
sxe,straight edge
iluvya,i love you
rtry,retry
fckin,fucking
sxi,sexy
pimha,Pain in my hairy ass
dilf,dad i'd like to fuck
ntta,nothing to talk about
char,character
vzn,verizon
sxs,sex
wtcf,what the crazy fuck
km,kiss me
iduwym,I don't understand what you mean.
curn,calling you right now
dftc,down for the count
pezzas,parents
ykw,You Know What
naa,not at all
pwnage,Ownage
btwn,between
imusm,I miss you so much
ihtgttbwijd,"I have to go to the bathroom, wait I just did."
b/t,between
nao,Not As Often
gdiaf,go die in a fire
b/w,between
wdum,what do  you mean
suxx,sucks
lolcano,laugh out loud
2da,to the
naw,no
tptb,the powers that be
w'sup,what's up
pfm,Please forgive me
grl,girl
b/c,because
bmay,between me and you
b/g,background
gpwm,good point well made
nmnhnlm,"no money, no honey, nobody loves me"
btwilu,by the way i love you
nevar,Never
evar,ever
fpos,fucking piece of shit
sibir,sibling in room
sexii,sexy
yaw,you are welcome
oyfe,Open Your Fucking Eyes
wrgad,who really gives a damn
bstrd,Bastard
evaa,ever
webby,webcam
nevah,never
bcoz,Because
"tl,dr",Too long; didn't read
gfyd,go fuck your dad
agn,again
phlr,peace hugs love respect
noob,someone who is new
yhf,you have failed
code9,other people near by
ijdk,I just don't know
tmw,Too much work
roxorz,rocks
ijdl,I just died laughing
gr8,great
pebmac,Problem Exist Between monitor and chair
hella,very
gndn,"Goes nowhere,does nothing"
gfys,go fuck yourself
yrsaf,You Are Such A Fool
imtaw,it may take a while
gw,good work
kmn,kill me now
gu,grow up
gt,get
2g2b4g,To good to be forgotten
hdydi,How do you do it
wd,well done
gp,good point
sul,see you later
w/b,write back
ef-ing,fucking
gy,gay
gg,good game
gf,girlfriend
gd,good
lmbao,laughing my black ass off
gb,Go back
ga,go ahead
pbcakb,problem between chair and keyboard
hdydt,how did you do that
gank,kill
gm,good morning
gl,good luck
2trd,too tired
gj,good job
gh,good half
n8v,native
wtfuah,what the fuck you asshole
haxzor,hacker
outa,out of
lke,like
tyty,thank you thank you
ex-bf,Ex-Boy Friend
peanus,penis
vleo,Very Low Earth Orbit
w2d,what to do
totp,talking on the phone
bruhh,Brother
biach,bitch
ev1,everyone
tyto,take your top off
nvrm,Nevermind
yysw,"yeah, yeah, sure, whatever"
stfm,search the fucking manual
ttth,Talk To The Hand
fwiw,for what it's worth
ty,thank you
omginbd,"Oh my God, It's no big deal"
g2,go to
g1,good one
g0,go
popo,police
lmffo,Laughing my fucking face off
1daful,wonderful
wrthls,Worthless
g9,good night
g8,gate
cod4,call of duty 4
cod5,call of duty 5
instagib,instant kill
tltpr,Too long to proof read.
roflmaouts,Rolling on floor laughing my fucking ass off unable to speak
swafk,sealed with a friendly kiss
yfb,you fucking bastard
wthrud,what the hell are you doing?
wtfiup,what the fuck is your problem
h4x,Hacks
idtkso,i don't think so
stfw,search the fucking web
h4xr,hacker
syfm,shut your fucking mouth
ps3,Play Station 3
evn,even
tfbundy,totaly fucked but unfortunatly not dead yet
wau^2,what are you up to?
eva,ever
tlk2ul8r,talk to you later
gmfao,Giggling My Fucking Ass Off
aeap,as early as possible
wtmtr,what's the matter
m84l,mate for life
min,minute
evr,ever
wby,what about you
tru,true
rihad,Rot In Hell And Die
lmip,LETS MEET IN PERSON
cfm,come fuck me
btwitiailwu,by the way i think i am in love with you
hppy,Happy
ruh,are you horny
ilusm,I love you So much
asarbambtaa,All submissions are reviewed by a moderator before they are added.
133t,elite
rtr,Read the Rules
l2m,listening to music
rrb,restroom break
jc,just curious
l2p,learn to play
iwuwh,i wish you were here
wtwm,what time are we meeting?
4ward,forward
zt,zoo tycoon
folo,Follow
4tlog,for the love of god
dhly,does he like you
odg,oh dear God
cmbo,combo
idlyitw,i don't like you in that way
nmp,Not My Problem
g2bl8,going to be late
ttbc,Try to be cool
3q,thank you
tdl,Too Damn Lazy
3u,thank you
lata,later
ursh,you are so hot
fuctard,fucking retard
peep dis,check out what I'm telling you
imvho,in my very humble opinion
kafn,kill all fucking noobs
fmhb,fuck me hard bitch
tyvvm,thank you very very much
ursg,you are so gay
sexc,sexy
sexe,sexy
wtfru,what the fuck are you
iois,Indicators of Interest
sexi,Sexy
1337,elite
wut,what
upcia,unsolicited pool cue in anus
gtglyb,got to go love you bye
ilml,I Love My Life
mkay,ok
nmjfa,"nothing much, just fucking around"
suxorz,sucks
tv,television
4umb,For You Maybe
lez,Lesbian
suxors,sucks
l8ter,later
ctt,change the topic
o.p.,Original Poster
ibs,Internet Bitch Slap
2moz,tomorrow
boxor,box
cts,change the subject
kitfo,knock it the fuck off
hrny,horny
kutgw,Keep Up The good Work
iwtly,i want to love you
ctf,capture the flag
jlma,just leave me alone
thatz,that's
ctc,call the cell
ctm,chuckle to myself
ctn,can't talk now
ibw,I'll be waiting
dyac,damn you auto correct
ntkb,need to know basis
ch@,chat
dygtp,did you get the picture
wywo,while you were out
wid,with
ducy,do you see why
waysttm,why are you still talking to me
tau,thinking about you
wio,without
pirlos,parent in room looking over shoulder
app,application
pnbf,Potential new boy friend
rotflmfao,rolling on the floor laughing my fucking ass off
apu,as per usual
mirl,meet in real life
pzled,puzzled
limh,laugh in my head
api,application program interface
motos,member of the opposite sex
plywm,play with me
h4x0r,hacker
pfy,pimply faced youth
cyntott,see you next time on Tech Today
gtfooh,get the fuck out of here
misc.,miscellaneous
xl,extra large
cilf,child i'd like to fuck
ilylabf,I love you like a best friend
chk,check
inef,it's not even funny
uwc,you are welcome
trnsl8,translate
pnus,penis
uhems,you hardly ever make sense
chr,character
fer,for
chu,you
gnstdltbbb,good night sleep tight don't let the bed bugs bite
aite,Alright
tl; dr,To Long; Didn't read
inet,internet
lolerz,laugh out loud
iit,is it tight
zh,Zero Hour
tisly,that is so last year
n2mhbu,not too much how about you?
cylor,check your local orhtodox rabbi
babi,baby
pker,player killer
upmo,You piss me off
*eg*,evil grin
pfo,please fuck off
pfos,parental figure over sholder
jtlyk,just to let you know
tttt,to tell the truth
ih8tu,i hate you
tbhimo,to be honest in my opinion
efct,effect
rlgf,Real Life Girl Friend
wywh,wish you were here
oj,orange juice
cuple,couple
a'ight,alright
tmtoyh,Too Much Time On Your Hands
wtii,what time is it
meeh,me
ayfkm,are you fucking kidding me
pthc,preteen hardcore
rdy,ready
ttfaf,Through the Fire and Flames
ack,acknowledged
spk,speak
aufsm,are you fucking shiting me
aight,Alright
lazer,laser
pww,parents were watching
ygtbkm,you got to be kidding me
dwai,don't worry about it
otflol,on the floor laughing out loud
syrs,see ya real soon
tdf,To Die For
aydy,are you done yet
glwt,good luck with that
xmas,christmas
e.g.,example
onoz,oh no
leme,let me
tay,thinking about you
asshle,asshole
bmttveot,best mates till the very end of time
bcnu,be seeing you
jtfo,joke the fuck out
tal,thanks a lot
tcp,transmission control protocol
tai,think about it
gjial,go jump in a lake
sis,sister
warez,illegally obtained software
lamf,like a motherfucker
grfx,graphics
dwt,don't wanna talk
afk,away from keyboard
*4u,Kiss for you
aamof,as a matter of fact
dwy,don't wet yourself
srynd2g,sorry need to go
afc,away from computer
dwb,Driving while black
iatb,I am the best
sig,Signature
sif,as if
hmwk,homework
wdywtdt,Why Do You Want To Do That?
newais,Anyways
txtyl,text you later
dwi,deal with it
81tc#,bitch
hafta,have to
gurl,girl
tomm,tommorow
frag,kill
farg,fuck
btfw,by the fucking way
hawt,hot
nph,no problem here
wnrn,why not right now
npe,nope
fitb,fill in the blank
w2f,want to fuck
anlsx,Anal Sex
npa,not paying attention
npc,Non-playable character
yfi,you fucking idiot
s'ok,it's okay
nkt,never knew that
gng2,going to
shmexy,sexy
evry,every
btfl,beautiful
btfo,back the fuck off
fcbk,facebook
pooter,Computer
idfk,i don't fucking know
cmiiw,correct me if I'm wrong
ot,off topic
siu,suck it up
lezbo,lesbian
u2u,up to you
wiu,What is up?
gcf,Google Click Fraud
ih8y,I hate you
wolo,we only live once
tfic,Tongue Firmly In Cheek
wad ^,what's up?
ru18,are you 18
xtreme,extreme
jfdi,Just Fucking Do It!
idkbibt,I don't know but I've Been Told
degmt,Don't Even Give Me That
tdwdtg,The Devil Went Down To Georgia
nyp,not your problem
itb,in the butt
afg,away from game
fo shizzle,for sure
gdilf,Grandad I'd Like To Fuck
fmflth,Fuck My Fucking Life To Hell
roflwtime,Rolling on the Floor laughing with tears in my eyes
a/m,away message
a/l,age and location
waysw,Why are you so weird
b82rez,Batteries
jgtfooh,just get the fuck out of here
gttp,get to the point
anuda,another
becuse,because
da2,Dragon Age 2
hax0red,hacked
gtty,good talking to you
nthin,nothing
imwtk,Inquiring minds want to know
itc,in that case
spos,stupid peace of shit
2nite,tonight
lf,looking for
sic,said in context
cotm,check out this myspace
sho,sure
ln,last name
lj,live journal
lk,like
rotflaviab,rolling on the floor laughing and vomiting in a bucket
ploxxorz,please
2h2h,too hot to handle
nmjdhw,nothing much just doing homework
tmrrw,tomorrow
crakalakin,happening
tss,That's so sweet
phail,fail
idtis,I don't think I should
sk8ing,Skating
yhpm,you have a private messge
mrau,message received and understood
kisa,knight in shining armor
bbvl,Be Back Very Later
wfm,Works For Me
l84skool,late for school
dah,dumb as hell
tstoac,too stupid to own a computer
nade,grenade
catwot,complete and total waste of time
diky,Do I know you
taci,that's a crappy idea
e-ok,Electronically OK
fudie,fuck you and die
ita,I Totally Agree
fbimcl,Fall Back In My Chair Laughing
diku,do i know you
wp,wrong person
fytd,fuck you to death
2ez,too easy
nff,not fucking fair
nfd,no fucking deal
evrytin,everything
ycliu,You could look it up
tisg,this is so gay
dwn,down
sutuct,so you think you can type
nfi,no fucking idea
nfw,no fucking way
ietf,internet engineering task force
kpc,keeping parents clueless
gfurs,go fuck yourself
nfr,not for real
bttt,"been there, tried that"
tisw,that is so wrong
yiwtgo,"Yes, I want to go private"
omgosh,Oh my gosh
whtever,whatever
rotflmfaopmp,rolling on the floor laughing my ass off pissin my pants
bettr,better
lmffao,laughing my fucking fat ass off
hpoa,Hot Piece of Ass
n/m,nevermind
lfg,Looking for group
bw3,Buffalo Wild Wings
eabod,eat a bag of dicks
hly,holy
lfm,looking for mate
lfl,let's fuck later
iydhantsdsaaa,If you don't have anything nice to say don't say anything at all
ilybtid,I Love You But Then I Don't
nm u,"not much, you"
hlp,help
hlo,hello
hlm,he loves me
hll,Hell
lfp,looking for pussy
tranny,Transexual
ijpmp,I just peed my pants
n/t,no text
inb4,in before
tu,thank you
hld,hold
hlb,horny little bastard
hla,Hot lesbian action
aob,any other business
sitmf,say it to my face
juzt,just
wuteva,whatever
heyy,hello
aatw,all around the world
xyzpdq,Examine Your Zipper Pretty Darn Quick
rep,to represent
cs:s,Counter-Strike: Source
wtp,where's the party
ih8u,I hate you
yws,you want sex
gmtyt,good morning to you too
cwm,come with me
ownz,owns
lmoao,Laughing my Other Ass Off
r2f,Ready To Fuck
dhcp,Dynamic Host Configuration Protocol
h2gtb,have to go to the bathroom
cwd,comment when done
pbjt,peanut butter jelly time
retrotextual,One who is using out of date words and abbreviations while texting.
ktfo,knocked the fuck out
ecf,error carried forward
snm,say no more
dmaf,do me a favor
fubohic,fuck you Bend over here it comes
shup,shut up
rtffp,Read the fucking front page
doin',doing
ykwim,you know what I mean
ndit,No details in thread
hl2,Half-Life 2
grog,beer
w/e,whatever
shud,should
rtard,retard
ih2p,i'll have to pass
2mz,tomorrow
scrt,secret
lalol,lots and lots of laughs
afaiu,As far as I understand
kssd,kissed
tcg,Trading Card Game
NORWICH,knickers off ready when I come home
pxr,punk rocker
bak,back
oicwydt,"oh, i see what you did there"
ilk2fku,I would like to fuck you
hhok,Ha Ha Only Kidding
frens,friends
ss4l,smoking sista for life
fyfi,For Your Fucking Information
yrbk,Yearbook
fbtw,Fine Be That Way
a/s/l/p,age/sex/location/picture
tysm,thank you so much
a/s/l/r,"age, sex, location, race"
cy2,see you too
tmsaisti,That's my story and I'm sticking to it.
ihy,i hate you
hawf,Husband and Wife forever
ianal,I am not a lawyer
5-oh,cop
blogger,web logger
bamf,bad ass mother fucker
wtwr,well that was random
d&df,drug & disease free
iht,I heard that
h8ed,hated
sof,smile on face
pcbd,page cannot be displayed
cu46,see you for sex
winnar,winner
iafh,I Am Fucking Hot
iafi,I am from India
dttriaa,don't tell the RIAA
ttut,Talk to you Tomorrow
h8er,hater
qfe,quoted for emphasis
yhbt,you've been trolled
tswc,tell someone who cares
g2gs,got to go sorry
g2gp,got to go pee
rcvd,received
av7x,avenged sevenfold
w.e.,whatever
waycb,when are you coming back
sbcg4ap,strongbads cool game for attractive people
pots,Plain Old Telephone Service
prollz,probably
g2gb,got to go bye
drood,druid
ngaf,nobody gives a fuck
nps,No Problems
g2ge,got to go eat
iotd,image of the day
wtho,want to hang out?
g2gn,got to go now
be4,before
uds,you dumb shit
ih8,i hate
31337,elite
beezy,BITCH
cyt,see you tomorrow
getcha,get you
icty,i can't tell you
gotcha,got you
botoh,but on the other hand
aabf,as a best friend
ktnx,Okay and Thanks
cyb,cyber
cya,goodbye
sx,sex
ssob,stupid sons of bitches
cye,Close Your Eyes
susfu,"situation unchanged, still fucked up"
wlcm,welcome
dynm,do you know me
gsoh,Good Sense of Humor
dynk,do you not know
cym,check your mail
cyl,see you later
omg's,oh my god's
seg,Shit Eatin Grin
osbutctt,only sad bastards use this crappy text talk
yrs,years
witcha,with you
contribs,contributions
bwim,by which i mean
plzthx,please? Thanks
un2bo,you need to back off
sok,It's ok
sahm,stay at home mom
tgiwjo,Thank God It Was Just Once
wasup,What's Up
b1tch,Bitch
noub,none of your business
g4u,good for you
iluaaf,i love you as a friend
ilykthnxbai,i love you k thanks bye
cmcp,call my cell phone
roflkmd,rolling on the floor laughing kicking my dog
yss,you stupid shit
iltwymmf,I love the way you make me feel
wotevs,whatever
shd,should
wdwgw,where did we go wrong
icwudt,I see what you did there
witu,with you
jtumltk,just thought you might like to know
imnl,I'm not laughing
a/s/l,"age,sex,location"
fukr,fucker
scool,school
fukn,fucking
irdk,I really don't know
poscs,parents over sholder change subject
sokay,it's okay
fukk,fuck
rotflmaool,rolling on the floor laughing my ass off out loud
kute,cute
irdc,I really don't care
tfiik,the fuck if i know
tarfu,things are really fucked up
rodger,affirmative
rotflmfaopimp,rolling on the floor laughing my fucking ass off peeing in my pants
gded,grounded
n2mh,not too much here
iwhswu,I want to have sex with you
congrats,congratulations
mia,Missing In Action
soad,system of a down
mic,microphone
gratz,congratulations
^5,high five
soab,son of a btch
hr,hour
ahole,asshole
sh,shit happens
tnxz,thanks
hs,headshot
fxe,foxy
nevarz,never
imhe,in my humble experience
awes,awesome
miw,mom is watching
ymiaw,your mom is a whore
omdg,oh my dear god
whf,Wanna have fun?
taunch,te amo un chingo
sol,Shit outta luck
p.o.s,parent over shoulder
sfy,speak for yourself
prblm,Problem
gcad,get cancer and die
mabby,maybe
ocgg,"Oh Crap, gotta go"
pyt,pretty young thing
sfs,so fucking stupid
bffeae,Best Friend For Ever And Ever
wht,What
vlog,video log
sfm,so fucking much
awk,awkward
ht,Heard Through
sfh,So Fucking Hot
fo sho,for sure
iyswim,if you see what I mean
igtkya,im going to kick your ass
sfe,safe
awb,Acquaintance with benefits
jyfihp,jam your finger in her pussy
yrss,you are so sexy
b4ul,before you Leave
2mro,tomorrow
bezzie,best friend
ura,you are a
roflpimp,rolling on the floor laughing pissing in my pants
idfc,i don't fucking care
nsas,No Strings Attached Sex
b4ug,before you go
foyb,fuck off you bitch
y2b,Youtube
som'm,something
urw,you are weird
urs,yours
2mrw,tomorrow
brbts,be right back taking shit
s4se,Sight For Sore Eyes
sumone,someone
dbi,Don't Beg It
dbh,don't be hating
12b,wannabe
nh,nice hand
dbm,don't bother me
swsw2b,single when she wants to be
wutcha,What are you
wtfdyw,what the fuck do you want
lmaol,laughing my ass out loud
aiws,as i was saying
fuxing,fucking
dbg,don't be gay
tws2wa,That was so 2 weeks ago
bbwe,be back whenever
supposably,Supposedly
dbz,DragonBall Z
ttytt,to tell you the truth
suxxor,sucks
bbwb,best buddy with boobs
bbwl,be back way later
jka,just kidding around
feat,Featuring
rofflecake,rolling on the floor laughing
urtrd,you retard
wlkd,walked
2morrow,tommorrow
ayec,at your earliest convenience
sexx0rz,sex
ngl,Not Gonna Lie
hf,have fun
wl,will
jas,just a second
mtrfkr,motherfucker
yapa,yet another pointless acronym
tts,text to speech
sista,Sister
gb2,go back to
lemme,let me
mmiw,my mom is watching
2bh,to be honest
hwmnbn,he who must not be named
idsw,i don't see why
roflmgao,rolling on the floor laughing my gay ass off
beotch,bitch
nj,Nice job
odtaa,one damn thing after another
lobl,laugh out bloody loud
aiic,as if I care
aiid,and if I did
4lyf3,for life
tbp,The Pirate Bay
isianmtu,I swear I am not making this up
kyfc,keep your fingers crossed
cubi,can you believe it
scrilla,money
jw2k,just wanted to know
udwk,you don't want to know
ymrasu,"Yes, My Retarded Ass Signed Up"
tba,to be anounced
2gether,together
tbc,To be continued
im'd,instant messaged
tbd,to be decided
tbf,to be fair
qq,crying eyes
roflmgo,Rolling On Floor Laughing My Guts Out
g2/-/,go to hell
sht,shit
qt,cutie
bhwu,back home with you
gba,game boy advance
j4u,just for you
rtfm,read the fucking manual
ritjive,non virgin
j4l,just for laughs
tmwfi,Take my word for it
gbu,god bless you
rtfp,read the fucking post
ffcl,falling from chair laughing
bbialb,Be back in a little bit
rtfs,read the fucking summary
j4g,just for grins
j4f,just for fun
wiuwu,what is up with you
ql,cool
gby,good bye
wuts,what is
wg,wicked gril
btw,by the way
nuttin,nothing
simclmao,sitting in my chair laughing my ass off
bts,be there soon
btr,better
beeoch,bitch
m/b,maybe
ttl,total
bty,back to you
iawtp,I agree with this post
arsed,bothered
btd,bored to death
noodz,nude pictures
wtfrud,What the fuck are you doing?
pmita,pound me in the ass
btb,by the by
btm,bottom
wc,who cares
ftio,fun time is over
swakaah,Sealed With A Kiss And A Hug
funee,funny
yasf,you are so funny
wb,welcome back
apod,Another Point Of Discussion
plmk,please let me know
dlf,dropping like flies
soafb,son of a fucking bitch
dln,don't look now
plma,please leave me alone
ymmd,You Made My Day
oomm,out of my mind
piccies,Pictures
wruu2,what are you up to
ntxt,no text
wn,when
h8red,Hatred
flicks,pictures
ohnoez,Oh no
w/end,weekend
jsyk,Just so you know
utm,you tell me
kek,laughing out loud
syotbf,see you on the battlefield
i <3 u,I love you
hb4b,hoes before bros
wk,week
poontang,female genitalia
pmitap,pound me in the ass prison
wdytia,who do you think i am?
rol,rolling over laugihng
p2w,pay to win
jwtlyk,Just wanted to let you know
pcent,percent
p2p,peer to peer
yr,year
h83r,hater
whtvr,whatever
jom,just one minuite
legit,legitimate
joo,you
etp,eager to please
oobl,out of breath laughing
ywsyls,you win some you lose some
bstfu,bitch shut the fuck up
wtc,what the crap
admin,administrator
2o4s,too old for sex
otflmao,On the floor laughing my ass off
e4u2s,easy for you to say
roflmfao,rolling on the floor laughing my fucking ass off
whubu2,what have you been up to
pl0x,please
tla,Three Letter Acronym
eta,Estimated Time of Arrival
puter,Computer
rq,real quick
tld,told
tlk,talk
hith,how in the hell
pdq,pretty damn quick
nsfmf,not so fast my friend
pb&j,peanut butter and jelly
hthu,Hurry the hell up
roxor,rock
icup,i see you pee
wtd,what the deuce
cn,can
cm,call me
afaik,as far as I know
cb,come back
mastrb8,masturbate.
aybabtu,all your base are belong to us
cg,Congratulations
ohn,oh hell no
afaic,as far as I'm concerned
njoy,enjoy
fukin,fucking
stbx,soon to be ex
idjit,idiot
rpg,role playing game
cs,Counter-Strike
aybabtg,All Your Base Are Belong To Google
cp,child porn
doypov,depends on your point of view
cu,goodbye
ct,can't talk
s'pose,suppose
bbn,be back never
bbm,BlackBerry Messenger
bbl,be back later
bbk,"be back, ok?"
bbi,Baby
bbg,baby girl
2mora,tomorrow
bbe,baby
c@,cat
taw,Teachers are Watching
jit,just in time
rumf,Are you male or female
npnt,"no picture, no talk"
ysm,you scare me
mudda,mother
bbz,babes
bby,baby
ah,ass hole
bbw,be back whenever
omfgn,Oh my fucking god noob
sbs,such bull shit
bbt,be back tomorrow
bbs,be back soon
h8te,hate
bbq,be back quick
bbp,Banned by parents
f u,fuck you
oti,on the internet
pic,picture
lgn,link goes nowhere
hdop,Help Delete Online Predators
aslrp,"age, sex, location, race, picture"
el!t,elite
fa-q,Fuck you
hmw,homework
lgf,little green footballs
ywapom,you want a piece of me?
wyhswm,would you have sex with me
hml,hate my life
pimfa,pain in my fucking ass
wthhyb,where the hell have you been?
m$wxp,Microsoft Windows XP
wwut,what were you thinking
kicks,sneakers
c2,come to
watz ^,What's up
fmnkml,fuck me now kiss me later
ott,over the top
wtrud,what are you doing
hmb,hold me back
otw,on the way
wtfiuwy,what the fuck is up with you
hfsbm,holy fucking shit batman
ycmtsu,You Can't Make This Shit Up
sydim,stick your dick in me
uvgtbsm,you have got to be shiting me
ur2g,you are too good
ysa,You Suck Ass
homey,Friend
roflastc,Rolling On Floor Laughing And Scaring The Cat
ysf,you stupid fuck
cvq,chucking very quietly
h8s,hates
h8r,hater
rbm,right behind me
ar,are
tiatwtcc,this is a trap word to catch copiers
h8u,I Hate You
gr8t,great
xtc,ecstasy
smhb,suck my hairy balls
nawidt,never again will i do that
dontcha,don't you
newayz,anyways
jftr,just for the record
ncaa,National Collegiate Athletic Association
avy,Avatar
vf,very funny
ph#,phone number
neways,anyways
afkb,away from keyboard
k3wl,cool
dwud,do what you do
prty,party
vn,very nice
suagooml,shut up and get out of my life
bbiaw,be back in a while
tfft,thank fuck for that
f2m,female to male
bcurl8,Because you're late.
smofo,stupid mother fucker
tgsttttptct,thank God someone took the time to put this crap together
jfc,Jesus fucking Christ
fubah,fucked up beyond all hope
nookie,sex
twfaf,thats what friends are for
s2g,swear to god
fkn,Fucking
geto,ghetto
brfb,be right fucking back
fka,formerly known as
tmrw,Tomorrow
tl,Tough Luck
fkd,fucked
lasb,Lame Ass Stupid Bitch
s2r,send to receive
tks,thanks
myfb,mind your fucking business
ilu,I love you
gui,graphical user interface
noe,know
wbs,write back soon
wiwt,wish i was there
fubar,fucked up beyond all recognition
frnds,friends
fku,fuck you
isfly,i so fucking love you
gewd,good
watevs,whatever
kyfag,kiss your fucking ass goodbye
http,hyper text transfer protocol
jooce,Juice
amiic,ask me if i care
wan2tlk,Want to talk
iow,in other words
gudd,good
iou,i owe you
nywy,anyway
igu,i give up
ttyrs,talk to you really soon
fucken,Fucking
thku,thank you
balz,balls
fmth,fuck me to hell
oaoa,over and over again
phq,fuck you
tisnf,that is so not fair
dyw2gwm,do you want to go with me
j2bs,just to be sure
wthau,who the hell are you
dat,that
pleze,please
wys,wow you're stupid
wyp,what's your problem?
wmgl,wish me good luck
phat,pretty hot and tasty
ofn,Old Fucking News
srsly,seriously
gamez,illegally obtained games
wugowm,will you go out with me
wyd,what are you doing
wyc,will you come
tlk2me,talk to me
phag,fag
wyn,What's your name
wym,What You Mean?
tiss,This is some shit
jflts,just felt like typing something
ibtl,In Before The Lock
mfa,mother fucking asshole
mfb,mother fucking bitch
s2us,Speak to you soon
btsoom,Beats The Shit Out Of Me
daii,day
s2a,sent to all
slgb,Straight/Lesbian/Gay/Bisexual
damhikijk,Don't Ask Me How I Know - I Just Know
mfr,motherfucker
wht^,what up
stfuda,Shut the fuck up dumb ass
mfw,my face when
doncha,Don't you
wogs,waste of good sperm
olpc,One Laptop Per Child
nifoc,naked in front of computer
igg,i gotta go
weg,wicked evil grin
nr4u,not right for you
detai,don't even think about it
hmus,Hit me up sometime
gma,grandma
ghey,gay
idunno,i do not know
tlkin,talking
cbfa,can't be fucking arsed
i c,i see
hi2u,hello
rul8,Are you late
xor,hacker
iiw2,is it web 2.0?
hmul,Hit me up later
f.u.,fuck you
adn,any day now
skl,School
adl,all day long
ghei,Gay
gmv,Got my vote
ijit,idiot
oar,on a roll
fyb,fuck you bitch
4ax0r,hacker
lhao,laughing her ass off
2bad4u2,too bad for you too
fyf,fuck your face
nvr,never
btdt,been there done that
fye,For Your Entertainment
ihmp,i hate my parents
fyk,for your knowledge
fyi,for your information
aytf,are you there fucker
fyl,For your Love
ayte,alright
lm4aq,Let's meet for a quickie.
nedn,any day now
fyp,fixed your post
ayty,are you there yet
ihml,I hate my life
imed,instant messaged
nfc,no fucking clue
nvm,never mind
rofl,rolling on the floor laughing
ne1,anyone
tfa,the fucking article
uyab,up your ass bitch
mho,My Humble Opinion
mhm,Yes
sowwy,sorry
rugta,are you going to answer
mhh,my head hurts
ttutt,to tell you the truth
rpo,royally pissed off
oftpc,off topic
sk8,skate
rotw,rest of the world
yor,your
qltm,quietly laughing to myself
stupd,stupid
4yeo,For Your Eyes Only
htfu,Hurry the fuck up
wtb,Want to buy
siggy,Signature
sofs,same old fucking shit
xoxo,hugs and kisses
rotg,rolling on the ground
rotf,rolling on the floor
aiamu,and I'm a monkey's uncle
jlt,just like that
2qt,too cute
ilymtylm,i love you more than you love me
yo,year old
vip,very important person
wrdo,weirdo
wgas,who gives a shit
ysitm,your shirt is too small
rotflol,rolling on the floor laughing out loud
homo,homosexual
istwfn,I stole this word from noslang.com
hait,hate
j00,you
wthswm,want to have sex with me
s.w.a.k.,sealed with a kiss
lmfpo,laughing my fucking pussy off
tbpfh,To be perfectly fucking honest
tmp,Text my phone
tmr,tomorrow
tms,that makes sense
dqydj,don't quit your day job
st8,state
woum,what's on your mind
tmz,tomorrow
wdyw,what do you want
tma,take my advice
yooh,you
nft,no further text
esc,escape
bewbz,boobs
l2,learn to
esl,eat shit loser
tml,tell me later
tk,team kill
bewbs,boobs
tmo,take me out
enuf,enough
cwyl,chat with ya later
poets,"piss off early, tomorrow's Saturday"
ilysmm,i love you so much more
naft,Not A Fucking Thing
ujds,u just did shit
aitr,Adult in the room
oibmpc,oops I broke my computer
lawled,laughed out loud
yfg,you're fucking gay
pp,pee pee
nafc,Not Appropriate for Children
np,no problem
in2,into
idyat,idiot
mir,mom in room
dcw,Doing Class Work
p^s,parent over shoulder
mite,might
grrl,Girl
wutup,What's Up
c/t,can't talk
ashl,asshole
goia,get over it already
idrk,i don't really know
iywt,if you want to
wtfayt,why the fuck are you talking
idot,idiot
ndn,indian
r0x0rz,rocks
pmfsl,piss my fucking self laughing
idrc,i don't really care
mfao,my fucking ass off
mofo,mother fucker
hiet,height
wats ^,whats up
kewel,cool
shiznat,shit
nds,Nintendo DS
swtf,"seriously, what the fuck"
bsomn,blowing stuff out my nose
tgif,thank god it's friday
gomb,get off my back
fudh,fuck you dick head
burma,be undressed ready my angel
nntst,no need to say thanks
h8,hate
h9,Husband in Room
jtwiw,just the way it was.
h2,Halo 2
ianacl,I am not a copyright lawyer
bffaw,best friends for a while
n/n,nickname
tsig,that site is gay
bsod,blue screen of death
chronic,marijuana
otc,off the chain
eula,end user license agreement
mssg,message
ymbkm,you must be kidding me
ootd,outfit of the day
